Video,Frame,Overall Score,Overall Status,Blur Score,Blur Status,Brightness Score,Brightness Status,Contrast Score,Contrast Status,Sharpness Score,Sharpness Status,Noise Score,Noise Status,Resolution,Recommendations
Abuse029_x264,motion_0018.jpg,70,MODERATE,2268.99,SHARP,68.28,DARK,78.49,GOOD,87.85,SHARP,47.63,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0019.jpg,70,MODERATE,2288.29,SHARP,68.27,DARK,78.54,GOOD,87.96,SHARP,47.84,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0020.jpg,70,MODERATE,2310.8,SHARP,68.25,DARK,78.56,GOOD,88.02,SHARP,48.07,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0021.jpg,70,MODERATE,2333.61,SHARP,68.25,DARK,78.56,GOOD,88.14,SHARP,48.31,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0022.jpg,70,MODERATE,2337.95,SHARP,68.2,DARK,78.57,GOOD,88.03,SHARP,48.35,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0023.jpg,70,MODERATE,2336.2,SHARP,68.16,DARK,78.57,GOOD,88.0,SHARP,48.33,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0024.jpg,70,MODERATE,2349.94,SHARP,68.12,DARK,78.58,GOOD,88.06,SHARP,48.48,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0025.jpg,70,MODERATE,2373.44,SHARP,68.02,DARK,78.56,GOOD,88.29,SHARP,48.72,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0026.jpg,70,MODERATE,2382.31,SHARP,67.95,DARK,78.55,GOOD,88.34,SHARP,48.81,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0027.jpg,70,MODERATE,2383.69,SHARP,67.88,DARK,78.54,GOOD,88.41,SHARP,48.82,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0028.jpg,70,MODERATE,2398.79,SHARP,67.83,DARK,78.53,GOOD,88.55,SHARP,48.98,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0029.jpg,70,MODERATE,2417.4,SHARP,67.81,DARK,78.53,GOOD,88.69,SHARP,49.17,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0030.jpg,70,MODERATE,2434.11,SHARP,67.79,DARK,78.53,GOOD,88.81,SHARP,49.34,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0031.jpg,70,MODERATE,2454.52,SHARP,67.76,DARK,78.53,GOOD,88.87,SHARP,49.54,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0032.jpg,70,MODERATE,2557.63,SHARP,67.46,DARK,78.41,GOOD,89.48,SHARP,50.57,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0033.jpg,70,MODERATE,2666.78,SHARP,67.15,DARK,78.42,GOOD,90.36,SHARP,51.64,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0034.jpg,70,MODERATE,2675.58,SHARP,67.15,DARK,78.41,GOOD,90.58,SHARP,51.73,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0035.jpg,70,MODERATE,2678.47,SHARP,67.15,DARK,78.43,GOOD,90.69,SHARP,51.75,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0036.jpg,70,MODERATE,2678.86,SHARP,67.17,DARK,78.45,GOOD,90.75,SHARP,51.76,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0037.jpg,70,MODERATE,2681.63,SHARP,67.19,DARK,78.48,GOOD,90.8,SHARP,51.78,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0038.jpg,70,MODERATE,2576.46,SHARP,67.1,DARK,78.58,GOOD,89.42,SHARP,50.76,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0039.jpg,70,MODERATE,2562.69,SHARP,67.08,DARK,78.6,GOOD,89.32,SHARP,50.62,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0040.jpg,70,MODERATE,2557.79,SHARP,67.21,DARK,78.75,GOOD,89.45,SHARP,50.57,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0041.jpg,70,MODERATE,2556.51,SHARP,67.24,DARK,78.76,GOOD,89.61,SHARP,50.56,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0042.jpg,70,MODERATE,2551.47,SHARP,67.28,DARK,78.76,GOOD,89.67,SHARP,50.51,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0043.jpg,70,MODERATE,2558.13,SHARP,67.29,DARK,78.75,GOOD,89.67,SHARP,50.58,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0044.jpg,70,MODERATE,2563.77,SHARP,67.28,DARK,78.74,GOOD,89.75,SHARP,50.63,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0045.jpg,70,MODERATE,2566.89,SHARP,67.25,DARK,78.71,GOOD,89.79,SHARP,50.66,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0046.jpg,70,MODERATE,2564.85,SHARP,67.2,DARK,78.68,GOOD,89.74,SHARP,50.64,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0047.jpg,70,MODERATE,2562.67,SHARP,67.16,DARK,78.65,GOOD,89.7,SHARP,50.62,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0048.jpg,70,MODERATE,2564.4,SHARP,67.13,DARK,78.62,GOOD,89.65,SHARP,50.64,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0049.jpg,70,MODERATE,2560.39,SHARP,67.09,DARK,78.59,GOOD,89.57,SHARP,50.6,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0050.jpg,70,MODERATE,2559.57,SHARP,67.05,DARK,78.56,GOOD,89.54,SHARP,50.59,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0051.jpg,70,MODERATE,2558.47,SHARP,67.01,DARK,78.52,GOOD,89.53,SHARP,50.58,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0052.jpg,70,MODERATE,2559.56,SHARP,66.96,DARK,78.46,GOOD,89.5,SHARP,50.59,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0053.jpg,70,MODERATE,2559.68,SHARP,66.93,DARK,78.44,GOOD,89.44,SHARP,50.59,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0054.jpg,70,MODERATE,2559.18,SHARP,66.87,DARK,78.39,GOOD,89.43,SHARP,50.59,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0055.jpg,70,MODERATE,2558.11,SHARP,66.85,DARK,78.36,GOOD,89.5,SHARP,50.58,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0056.jpg,70,MODERATE,2558.59,SHARP,66.82,DARK,78.32,GOOD,89.53,SHARP,50.58,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0057.jpg,70,MODERATE,2571.05,SHARP,66.78,DARK,78.25,GOOD,89.7,SHARP,50.71,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0058.jpg,70,MODERATE,2593.32,SHARP,66.73,DARK,78.2,GOOD,90.1,SHARP,50.92,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0059.jpg,70,MODERATE,2597.2,SHARP,66.69,DARK,78.16,GOOD,90.3,SHARP,50.96,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0060.jpg,70,MODERATE,2597.18,SHARP,66.64,DARK,78.14,GOOD,90.43,SHARP,50.96,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0061.jpg,70,MODERATE,2592.01,SHARP,66.58,DARK,78.12,GOOD,90.4,SHARP,50.91,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0062.jpg,70,MODERATE,2592.16,SHARP,66.54,DARK,78.1,GOOD,90.27,SHARP,50.91,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0063.jpg,70,MODERATE,2594.45,SHARP,66.51,DARK,78.07,GOOD,90.3,SHARP,50.94,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0064.jpg,70,MODERATE,2603.05,SHARP,66.49,DARK,78.04,GOOD,90.49,SHARP,51.02,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0065.jpg,70,MODERATE,2619.93,SHARP,66.41,DARK,77.98,GOOD,90.71,SHARP,51.19,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0066.jpg,70,MODERATE,2621.33,SHARP,66.29,DARK,77.88,GOOD,90.78,SHARP,51.2,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0067.jpg,70,MODERATE,2624.57,SHARP,66.18,DARK,77.78,GOOD,90.83,SHARP,51.23,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0068.jpg,70,MODERATE,2604.46,SHARP,66.1,DARK,77.71,GOOD,90.79,SHARP,51.03,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0069.jpg,70,MODERATE,2606.08,SHARP,66.08,DARK,77.71,GOOD,90.69,SHARP,51.05,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0070.jpg,70,MODERATE,2610.12,SHARP,66.04,DARK,77.68,GOOD,90.77,SHARP,51.09,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0071.jpg,70,MODERATE,2625.23,SHARP,66.02,DARK,77.65,GOOD,90.88,SHARP,51.24,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0072.jpg,70,MODERATE,2636.72,SHARP,65.99,DARK,77.64,GOOD,90.89,SHARP,51.35,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0073.jpg,70,MODERATE,2628.39,SHARP,66.0,DARK,77.64,GOOD,90.87,SHARP,51.27,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0074.jpg,70,MODERATE,2622.47,SHARP,66.0,DARK,77.65,GOOD,90.81,SHARP,51.21,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0075.jpg,70,MODERATE,2627.11,SHARP,66.02,DARK,77.64,GOOD,90.78,SHARP,51.26,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0076.jpg,70,MODERATE,2632.41,SHARP,66.05,DARK,77.62,GOOD,90.8,SHARP,51.31,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0077.jpg,70,MODERATE,2611.04,SHARP,66.1,DARK,77.57,GOOD,90.6,SHARP,51.1,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0078.jpg,70,MODERATE,2610.17,SHARP,66.16,DARK,77.59,GOOD,90.64,SHARP,51.09,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0079.jpg,70,MODERATE,2603.81,SHARP,66.23,DARK,77.6,GOOD,90.61,SHARP,51.03,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0080.jpg,70,MODERATE,2594.62,SHARP,66.34,DARK,77.61,GOOD,90.58,SHARP,50.94,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0081.jpg,70,MODERATE,2612.78,SHARP,66.47,DARK,77.66,GOOD,90.92,SHARP,51.12,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0082.jpg,70,MODERATE,2614.12,SHARP,66.62,DARK,77.75,GOOD,91.07,SHARP,51.13,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0083.jpg,70,MODERATE,2630.7,SHARP,66.76,DARK,77.83,GOOD,91.19,SHARP,51.29,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0084.jpg,70,MODERATE,2636.26,SHARP,66.88,DARK,77.85,GOOD,91.25,SHARP,51.34,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0085.jpg,70,MODERATE,2633.6,SHARP,66.96,DARK,77.88,GOOD,91.39,SHARP,51.32,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0086.jpg,70,MODERATE,2629.75,SHARP,67.25,DARK,77.96,GOOD,91.42,SHARP,51.28,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0087.jpg,70,MODERATE,2635.7,SHARP,67.32,DARK,77.97,GOOD,91.41,SHARP,51.34,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0088.jpg,70,MODERATE,2651.48,SHARP,67.38,DARK,77.98,GOOD,91.44,SHARP,51.49,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0089.jpg,70,MODERATE,2664.49,SHARP,67.42,DARK,77.98,GOOD,91.62,SHARP,51.62,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0090.jpg,70,MODERATE,2662.9,SHARP,67.47,DARK,77.98,GOOD,91.57,SHARP,51.6,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0091.jpg,70,MODERATE,2657.6,SHARP,67.53,DARK,77.99,GOOD,91.48,SHARP,51.55,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0092.jpg,70,MODERATE,2666.47,SHARP,67.54,DARK,78.0,GOOD,91.5,SHARP,51.64,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0093.jpg,70,MODERATE,2656.62,SHARP,67.55,DARK,78.01,GOOD,91.55,SHARP,51.54,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0094.jpg,70,MODERATE,2649.94,SHARP,67.57,DARK,78.03,GOOD,91.61,SHARP,51.48,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0095.jpg,70,MODERATE,2644.43,SHARP,67.61,DARK,78.05,GOOD,91.61,SHARP,51.42,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0096.jpg,70,MODERATE,2645.08,SHARP,67.62,DARK,78.07,GOOD,91.64,SHARP,51.43,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0097.jpg,70,MODERATE,2638.4,SHARP,67.6,DARK,78.08,GOOD,91.59,SHARP,51.37,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0098.jpg,70,MODERATE,2633.64,SHARP,67.6,DARK,78.08,GOOD,91.52,SHARP,51.32,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0099.jpg,70,MODERATE,2632.05,SHARP,67.57,DARK,78.06,GOOD,91.47,SHARP,51.3,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0100.jpg,70,MODERATE,2628.08,SHARP,67.54,DARK,78.04,GOOD,91.4,SHARP,51.26,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0101.jpg,70,MODERATE,2627.51,SHARP,67.48,DARK,78.01,GOOD,91.37,SHARP,51.26,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0102.jpg,70,MODERATE,2626.54,SHARP,67.41,DARK,77.96,GOOD,91.31,SHARP,51.25,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0103.jpg,70,MODERATE,2630.14,SHARP,67.37,DARK,77.93,GOOD,91.26,SHARP,51.28,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0104.jpg,70,MODERATE,2625.81,SHARP,67.32,DARK,77.91,GOOD,91.3,SHARP,51.24,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0105.jpg,70,MODERATE,2635.85,SHARP,67.28,DARK,77.89,GOOD,91.41,SHARP,51.34,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0106.jpg,70,MODERATE,2659.02,SHARP,67.24,DARK,77.85,GOOD,91.45,SHARP,51.57,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0107.jpg,70,MODERATE,2656.99,SHARP,67.3,DARK,77.83,GOOD,91.48,SHARP,51.55,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0108.jpg,70,MODERATE,2661.39,SHARP,67.3,DARK,77.77,GOOD,91.59,SHARP,51.59,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0109.jpg,70,MODERATE,2666.67,SHARP,67.25,DARK,77.71,GOOD,91.68,SHARP,51.64,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0110.jpg,70,MODERATE,2681.52,SHARP,67.22,DARK,77.65,GOOD,91.92,SHARP,51.78,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0111.jpg,70,MODERATE,2710.14,SHARP,67.16,DARK,77.54,GOOD,92.07,SHARP,52.06,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0112.jpg,70,MODERATE,2709.49,SHARP,67.11,DARK,77.48,GOOD,92.14,SHARP,52.05,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0113.jpg,70,MODERATE,2700.38,SHARP,67.04,DARK,77.4,GOOD,92.2,SHARP,51.97,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0114.jpg,70,MODERATE,2696.06,SHARP,66.97,DARK,77.28,GOOD,92.3,SHARP,51.92,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0115.jpg,70,MODERATE,2679.18,SHARP,67.06,DARK,77.32,GOOD,92.49,SHARP,51.76,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0116.jpg,70,MODERATE,2678.44,SHARP,67.11,DARK,77.24,GOOD,92.64,SHARP,51.75,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0117.jpg,70,MODERATE,2689.76,SHARP,67.1,DARK,77.2,GOOD,92.91,SHARP,51.86,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0118.jpg,70,MODERATE,2689.3,SHARP,67.14,DARK,77.1,GOOD,92.71,SHARP,51.86,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0119.jpg,70,MODERATE,2698.88,SHARP,67.14,DARK,77.02,GOOD,92.43,SHARP,51.95,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0120.jpg,70,MODERATE,2691.21,SHARP,67.21,DARK,77.02,GOOD,92.26,SHARP,51.88,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0121.jpg,70,MODERATE,2696.96,SHARP,67.28,DARK,77.08,GOOD,92.44,SHARP,51.93,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0122.jpg,70,MODERATE,2702.94,SHARP,67.36,DARK,77.06,GOOD,92.52,SHARP,51.99,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0123.jpg,70,MODERATE,2577.28,SHARP,66.1,DARK,76.64,GOOD,90.9,SHARP,50.77,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0124.jpg,70,MODERATE,2564.52,SHARP,66.08,DARK,76.62,GOOD,90.78,SHARP,50.64,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0125.jpg,70,MODERATE,2551.28,SHARP,66.04,DARK,76.54,GOOD,90.57,SHARP,50.51,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0126.jpg,70,MODERATE,2534.29,SHARP,66.04,DARK,76.54,GOOD,90.43,SHARP,50.34,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0127.jpg,70,MODERATE,2525.09,SHARP,66.14,DARK,76.61,GOOD,90.5,SHARP,50.25,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0128.jpg,70,MODERATE,2523.65,SHARP,66.28,DARK,76.7,GOOD,90.34,SHARP,50.24,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0129.jpg,70,MODERATE,2509.68,SHARP,66.37,DARK,76.75,GOOD,90.0,SHARP,50.1,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0130.jpg,70,MODERATE,2486.7,SHARP,66.48,DARK,76.86,GOOD,89.91,SHARP,49.87,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0131.jpg,70,MODERATE,2485.7,SHARP,66.57,DARK,76.93,GOOD,90.12,SHARP,49.86,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0132.jpg,70,MODERATE,2492.88,SHARP,66.68,DARK,77.06,GOOD,90.21,SHARP,49.93,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0133.jpg,70,MODERATE,2498.23,SHARP,66.75,DARK,77.14,GOOD,90.29,SHARP,49.98,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0134.jpg,70,MODERATE,2495.38,SHARP,66.78,DARK,77.2,GOOD,90.3,SHARP,49.95,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0135.jpg,70,MODERATE,2494.3,SHARP,66.81,DARK,77.24,GOOD,90.21,SHARP,49.94,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0136.jpg,70,MODERATE,2484.47,SHARP,66.8,DARK,77.26,GOOD,90.01,SHARP,49.84,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0137.jpg,70,MODERATE,2489.64,SHARP,66.77,DARK,77.24,GOOD,89.98,SHARP,49.9,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0138.jpg,70,MODERATE,2489.67,SHARP,66.72,DARK,77.19,GOOD,89.99,SHARP,49.9,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0139.jpg,70,MODERATE,2486.91,SHARP,66.65,DARK,77.13,GOOD,90.02,SHARP,49.87,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0140.jpg,70,MODERATE,2488.0,SHARP,66.61,DARK,77.1,GOOD,90.08,SHARP,49.88,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0141.jpg,70,MODERATE,2488.53,SHARP,66.59,DARK,77.09,GOOD,90.08,SHARP,49.89,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0142.jpg,70,MODERATE,2501.91,SHARP,66.59,DARK,77.08,GOOD,90.11,SHARP,50.02,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0143.jpg,70,MODERATE,2498.73,SHARP,66.6,DARK,77.08,GOOD,90.09,SHARP,49.99,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0144.jpg,70,MODERATE,2502.66,SHARP,66.6,DARK,77.07,GOOD,90.19,SHARP,50.03,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0145.jpg,70,MODERATE,2510.52,SHARP,66.6,DARK,77.05,GOOD,90.3,SHARP,50.11,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0146.jpg,70,MODERATE,2515.9,SHARP,66.63,DARK,77.06,GOOD,90.38,SHARP,50.16,HIGH,320x240,"Increase Brightness, Apply Denoising"
